COD_MUN_IBGE,NOME_CANDIDATO,QTDE_VOTOS
1200013,DILMA VANA ROUSSEFF,1475
1200054,DILMA VANA ROUSSEFF,1361
1200104,DILMA VANA ROUSSEFF,2992
1200138,DILMA VANA ROUSSEFF,1229
1200179,DILMA VANA ROUSSEFF,847
1200203,DILMA VANA ROUSSEFF,10134
1200252,DILMA VANA ROUSSEFF,1717
1200302,DILMA VANA ROUSSEFF,5711
1200328,DILMA VANA ROUSSEFF,874
1200336,DILMA VANA ROUSSEFF,2395
1200344,DILMA VANA ROUSSEFF,1084
1200351,DILMA VANA ROUSSEFF,1698
1200385,DILMA VANA ROUSSEFF,2110
1200393,DILMA VANA ROUSSEFF,1301
1200401,DILMA VANA ROUSSEFF,43426
1200427,DILMA VANA ROUSSEFF,1832
1200435,DILMA VANA ROUSSEFF,303
1200450,DILMA VANA ROUSSEFF,2930
1200500,DILMA VANA ROUSSEFF,4369
1200609,DILMA VANA ROUSSEFF,5177
1200708,DILMA VANA ROUSSEFF,2544
1200807,DILMA VANA ROUSSEFF,1460
2700102,DILMA VANA ROUSSEFF,7531
2700201,DILMA VANA ROUSSEFF,5019
2700300,DILMA VANA ROUSSEFF,42663
2700409,DILMA VANA ROUSSEFF,8967
2700508,DILMA VANA ROUSSEFF,3176
2700607,DILMA VANA ROUSSEFF,1666
2700706,DILMA VANA ROUSSEFF,5289
2700805,DILMA VANA ROUSSEFF,2072
2700904,DILMA VANA ROUSSEFF,2444
2701001,DILMA VANA ROUSSEFF,8753
2701100,DILMA VANA ROUSSEFF,3082
2701209,DILMA VANA ROUSSEFF,3041
2701308,DILMA VANA ROUSSEFF,4524
2701357,DILMA VANA ROUSSEFF,2314
2701407,DILMA VANA ROUSSEFF,8527
2701506,DILMA VANA ROUSSEFF,3998
2701605,DILMA VANA ROUSSEFF,6983
2701704,DILMA VANA ROUSSEFF,3340
2701803,DILMA VANA ROUSSEFF,2542
2701902,DILMA VANA ROUSSEFF,2729
2702009,DILMA VANA ROUSSEFF,3917
2702108,DILMA VANA ROUSSEFF,4719
2702207,DILMA VANA ROUSSEFF,1691
2702306,DILMA VANA ROUSSEFF,8476
2702355,DILMA VANA ROUSSEFF,8084
2702405,DILMA VANA ROUSSEFF,19108
2702504,DILMA VANA ROUSSEFF,3829
2702553,DILMA VANA ROUSSEFF,5476
2702603,DILMA VANA ROUSSEFF,8129
2702702,DILMA VANA ROUSSEFF,1152
2702801,DILMA VANA ROUSSEFF,2125
2702900,DILMA VANA ROUSSEFF,12158
2703007,DILMA VANA ROUSSEFF,4084
2703106,DILMA VANA ROUSSEFF,8729
2703205,DILMA VANA ROUSSEFF,7127
2703304,DILMA VANA ROUSSEFF,6677
2703403,DILMA VANA ROUSSEFF,2394
2703502,DILMA VANA ROUSSEFF,2576
2703601,DILMA VANA ROUSSEFF,1750
2703700,DILMA VANA ROUSSEFF,2056
2703759,DILMA VANA ROUSSEFF,2902
2703809,DILMA VANA ROUSSEFF,4995
2703908,DILMA VANA ROUSSEFF,1298
2704005,DILMA VANA ROUSSEFF,7628
2704104,DILMA VANA ROUSSEFF,6200
2704203,DILMA VANA ROUSSEFF,7712
2704302,DILMA VANA ROUSSEFF,152559
2704401,DILMA VANA ROUSSEFF,6243
2704500,DILMA VANA ROUSSEFF,5970
2704609,DILMA VANA ROUSSEFF,2562
2704708,DILMA VANA ROUSSEFF,7492
2704807,DILMA VANA ROUSSEFF,3923
2704906,DILMA VANA ROUSSEFF,1340
2705002,DILMA VANA ROUSSEFF,8985
2705101,DILMA VANA ROUSSEFF,4557
2705200,DILMA VANA ROUSSEFF,3625
2705309,DILMA VANA ROUSSEFF,1974
2705408,DILMA VANA ROUSSEFF,2383
2705507,DILMA VANA ROUSSEFF,5840
2705606,DILMA VANA ROUSSEFF,2702
2705705,DILMA VANA ROUSSEFF,4560
2705804,DILMA VANA ROUSSEFF,3455
2705903,DILMA VANA ROUSSEFF,1899
2706000,DILMA VANA ROUSSEFF,3423
2706109,DILMA VANA ROUSSEFF,4339
2706208,DILMA VANA ROUSSEFF,1836
2706307,DILMA VANA ROUSSEFF,18403
2706406,DILMA VANA ROUSSEFF,8243
2706422,DILMA VANA ROUSSEFF,4476
2706448,DILMA VANA ROUSSEFF,2415
2706505,DILMA VANA ROUSSEFF,4256
2706604,DILMA VANA ROUSSEFF,3060
2706703,DILMA VANA ROUSSEFF,14156
2706802,DILMA VANA ROUSSEFF,4812
2706901,DILMA VANA ROUSSEFF,5038
2707008,DILMA VANA ROUSSEFF,1155
2707107,DILMA VANA ROUSSEFF,7944
2707206,DILMA VANA ROUSSEFF,4277
2707305,DILMA VANA ROUSSEFF,4550
2707404,DILMA VANA ROUSSEFF,1799
